,Index,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,FAO_Item,FAO_Value,Population_value,No,Index
0,0,1993-0515-AUS,1993,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1993,2,,1993,2,,17.0,500.0,3000000.0,,3000500.0,53.3116203804942,South-east Australia,AU,AU,-25.274398,133.775136,Australia,0,Millions,454964,,"Cereals, Total",19795,17603.0,0,0
1,0,1993-0515-AUS,1993,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1993,2,,1993,2,,17.0,500.0,3000000.0,,3000500.0,53.3116203804942,South-east Australia,AU,AU,-25.274398,133.775136,Australia,0,Millions,454964,,Fruit Primary,159430,17603.0,0,0
2,0,1993-0515-AUS,1993,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1993,2,,1993,2,,17.0,500.0,3000000.0,,3000500.0,53.3116203804942,South-east Australia,AU,AU,-25.274398,133.775136,Australia,0,Millions,454964,,"Milk, Total",44514,17603.0,0,0
3,0,1993-0515-AUS,1993,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1993,2,,1993,2,,17.0,500.0,3000000.0,,3000500.0,53.3116203804942,South-east Australia,AU,AU,-25.274398,133.775136,Australia,0,Millions,454964,,Vegetables Primary,194803,17603.0,0,0
4,1,1990-0356-MEX,1990,Heat wave,Mexico,MEX,Central America,Americas,Drought,,No,No,,1990,4,30.0,1990,6,6.0,380.0,,,,,48.2187972884321,North,ME,ME,42.708678,19.37439,Montenegro,1,Millions,...,,"Cereals, Total",24244,83943.0,1,1
5,1,1990-0356-MEX,1990,Heat wave,Mexico,MEX,Central America,Americas,Drought,,No,No,,1990,4,30.0,1990,6,6.0,380.0,,,,,48.2187972884321,North,ME,ME,42.708678,19.37439,Montenegro,1,Millions,...,,Fruit Primary,124366,83943.0,1,1
6,1,1990-0356-MEX,1990,Heat wave,Mexico,MEX,Central America,Americas,Drought,,No,No,,1990,4,30.0,1990,6,6.0,380.0,,,,,48.2187972884321,North,ME,ME,42.708678,19.37439,Montenegro,1,Millions,...,,"Milk, Total",24592,83943.0,1,1
7,1,1990-0356-MEX,1990,Heat wave,Mexico,MEX,Central America,Americas,Drought,,No,No,,1990,4,30.0,1990,6,6.0,380.0,,,,,48.2187972884321,North,ME,ME,42.708678,19.37439,Montenegro,1,Millions,...,,Vegetables Primary,136650,83943.0,1,1
8,2,1990-0085-FRA,1990,Heat wave,France,FRA,Western Europe,Europe,,,,,40.0,1990,7,24.0,1990,7,24.0,5.0,,,,,48.2187972884321,Southwestern,FR,FR,46.227638,2.213749,France,2,Millions,1053546,,"Cereals, Total",60826,56667.0,2,2
9,2,1990-0085-FRA,1990,Heat wave,France,FRA,Western Europe,Europe,,,,,40.0,1990,7,24.0,1990,7,24.0,5.0,,,,,48.2187972884321,Southwestern,FR,FR,46.227638,2.213749,France,2,Millions,1053546,,Fruit Primary,109337,56667.0,2,2
10,2,1990-0085-FRA,1990,Heat wave,France,FRA,Western Europe,Europe,,,,,40.0,1990,7,24.0,1990,7,24.0,5.0,,,,,48.2187972884321,Southwestern,FR,FR,46.227638,2.213749,France,2,Millions,1053546,,"Milk, Total",35309,56667.0,2,2
11,2,1990-0085-FRA,1990,Heat wave,France,FRA,Western Europe,Europe,,,,,40.0,1990,7,24.0,1990,7,24.0,5.0,,,,,48.2187972884321,Southwestern,FR,FR,46.227638,2.213749,France,2,Millions,1053546,,Vegetables Primary,162003,56667.0,2,2
