,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,Cereals,Fruit,Milk,Vegetables,Population_value
0,1993-0515-AUS,1993,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1993,2,,1993,2,,17,500,3000000,,3000500,53.31162038,South-east Australia,AU,AU,-25.274398,133.775136,Australia,0,Millions,454964,,19795,159430,44514,194803,17603
1,1990-0356-MEX,1990,Heat wave,Mexico,MEX,Central America,Americas,Drought,,No,No,,1990,4,30,1990,6,6,380,,,,,48.21879729,North,ME,ME,42.708678,19.37439,Montenegro,1,Millions,...,,24244,124366,24592,136650,83943
2,1990-0085-FRA,1990,Heat wave,France,FRA,Western Europe,Europe,,,,,40,1990,7,24,1990,7,24,5,,,,,48.21879729,Southwestern,FR,FR,46.227638,2.213749,France,2,Millions,1053546,,60826,109337,35309,162003,56667
3,1991-0279-PAK,1991,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,No,No,53,1991,6,1,1991,6,15,523,,250,,250,50.26085283,"Jacobabab, Nawabsma, Hyderabad (Sind province)",PA,PA,8.537981,-80.782127,Panama,3,Millions,...,,18058,92473,9215,123481,511
4,1994-0641-AUS,1994,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1994,1,,1994,1,,5,150,100000,,100150,54.70169254,Townsville,AU,AU,-25.274398,133.775136,Australia,6,Millions,482370,,12667,158592,46612,209118,17799
5,1994-0645-AUS,1994,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,44,1994,12,,1994,12,,,34,1000000,,1000034,54.70169254,Southern NSW,AU,AU,-25.274398,133.775136,Australia,7,Millions,482370,,12667,158592,46612,209118,17799
6,1995-0443-AUS,1995,Heat wave,Australia,AUS,Australia and New Zealand,Oceania,,,,,,1995,11,,1995,11,,1,100,500000,,500100,56.23630002,Western Sydney,AU,AU,-25.274398,133.775136,Australia,9,Millions,511780,,18710,144301,46460,208221,17993
7,1994-0624-IND,1994,Heat wave,India,IND,Southern Asia,Asia,,,,,49,1994,5,,1994,5,,161,,,,,54.70169254,"New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,11,Millions,...,,21155,113412,6709,120911,945602
8,1995-0157-ESP,1995,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,47,1995,7,25,1995,7,25,30,70,,,70,56.23630002,Andalusia,ES,ES,40.463667,-3.74922,Spain,13,Millions,460588,,17297,73509,11263,267357,39787
9,1995-0112-IND,1995,Heat wave,India,IND,Southern Asia,Asia,,,No,No,50,1995,5,8,1995,6,21,558,,,,,56.23630002,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,14,Millions,...,,21117,109237,7129,101637,963923
10,1996-0153-PAK,1996,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,40,1996,6,19,1996,6,19,32,,,,,57.88470588,Karachi,PA,PA,8.537981,-80.782127,Panama,15,Millions,...,,20463,98333,10760,134296,127349
11,1997-0334-PAK,1997,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,46,1997,6,16,1997,6,16,100,,,,,59.23786573,N.A. on the source,PA,PA,8.537981,-80.782127,Panama,16,Millions,...,,20442,98799,10734,134776,131057
12,1998-0217-IND,1998,Heat wave,India,IND,Southern Asia,Asia,,,,,50,1998,5,26,1998,5,26,2541,,,,,60.15741089,"Orissa, Andhra Pradesh, Rajasthan, Madhya Pradesh, Uttar Pradesh, Gujarat states",IN,IN,20.593684,78.96288,India,17,Millions,...,,22484,120749,7976,119707,1019484
13,1998-0204-ITA,1998,Heat wave,Italy,ITA,Southern Europe,Europe,,,,,46,1998,7,4,1998,7,4,10,,,,,60.15741089,Calabria,IT,IT,41.87194,12.56738,Italy,18,Millions,1138856.1,,50782,126290,12916,246533,56743
14,2000-0382-BGR,2000,Heat wave,Bulgaria,BGR,Eastern Europe,Europe,,,,,43,2000,6,,2000,7,,7,,,,,63.54954734,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",BG,BG,42.733883,25.48583,Bulgaria,22,Millions,28124.88,94.49745178,24599,46568,5341,93981,7998
15,1999-0125-IND,1999,Heat wave,India,IND,Southern Asia,Asia,,,,,47,1999,4,,1999,4,,140,,,,,61.47366718,"Orissa, Andhra Pradesh, Gujurat, Uttar Pradesh",IN,IN,20.593684,78.96288,India,23,Millions,...,,23137,122513,7851,129933,1038058
16,2000-0398-CYP,2000,Heat wave,Cyprus,CYP,Western Asia,Asia,,,,,43,2000,7,,2000,7,,5,400,,,400,63.54954734,Nicosia province,CY,CY,35.126413,33.429859,Cyprus,24,Millions,10594.981,750.5167236,9314,101052,5460,320357,943
17,2000-0379-GRC,2000,Heat wave,Greece,GRC,Southern Europe,Europe,,,,,44,2000,7,,2000,7,,27,176,,,176,63.54954734,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",GR,GR,39.074208,21.824312,Greece,25,Millions,141247.2762,885.4104004,38688,164302,1846,298026,11082
18,2000-0473-ISR,2000,Heat wave,Israel,ISR,Western Asia,Asia,,,,,45,2000,7,,2000,7,,,,,,,63.54954734,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv provinces",IS,IS,64.963051,-19.020835,Iceland,27,Millions,540061.2,1513.944702,24433,197900,33167,308815,5946
19,2000-0471-JOR,2000,Heat wave,Jordan,JOR,Western Asia,Asia,,,,,43,2000,7,,2000,7,,,12,,,12,63.54954734,Amman province,JO,JO,30.585164,36.238414,Jordan,28,Millions,6185.74889,159.147644,17283,121002,1775,299110,5122
20,2000-0487-MAR,2000,Heat wave,Morocco,MAR,Northern Africa,Africa,,,,,51,2000,8,,2000,8,,,,,,,63.54954734,"Settat district (Chaouia-Ouardigha province), Casablanca district (Grand Casablanca province), Gharb-Chrarda-Beni Hssen province",MA,MA,31.791702,-7.09262,Morocco,29,Millions,...,53.68618393,3668,105379,3647,196901,28794
21,2000-0381-TUR,2000,Heat wave,Turkey,TUR,Western Asia,Asia,Drought,,,,46,2000,6,,2000,7,,11,300,,,300,63.54954734,"Adana, Adiyaman, Afyon, Agri, Aksaray, Amasya, Ankara, Antalya, Ardahan, Artvin, Aydin, Balikesir, Bartin, Batman, Bayburt, Bilecik, Bingol, Bitlis, Bolu, Burdur, Bursa, Canakkale, Cankiri, Corum, Denizli, Diyarbakir, Edirne, Elazig, Erzincan, Erzurum, Eskisehir, Gaziantep, Giresun, Gumushane, Hakkari, Hatay, Icel, Igdir, Isparta, Istanbul, Izmir, K.maras, Karabuk, Karaman, Kars, Kastamonu, Kayseri, Kilis, Kirikkale, Kirklareli, Kirsehir, Kocaeli, Konya, Kutahya, Malatya, Manisa, Mardin, Mugla, Mus, Nevsehir, Nigde, Ordu, Osmaniye, Rize, Sakarya, Samsun, Sanliurfa, Siirt, Sinop, Sirnak, Sivas, Tekirdag, Tokat, Trabzon, Tunceli, Usak, Van, Yalova, Yozgat, Zonguldak provinces",TU,TU,38.963745,35.243322,Turkey,31,Millions,171494.21,199.4993744,23706,124770,3908,268129,63240
22,2000-0351-PAK,2000,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,46,2000,6,,2000,6,,24,,,,,63.54954734,Punjab province,PA,PA,8.537981,-80.782127,Panama,32,Millions,...,15.58189678,24045,89058,11181,135528,142344
23,2000-0380-ROU,2000,Heat wave,Romania,ROU,Eastern Europe,Europe,,,,,43,2000,7,,2000,7,,6,100,,,100,63.54954734,"Bucuresti, Dolj provinces",RO,RO,45.943161,24.96676,Romania,33,Millions,80873.1,69.89345551,19278,63618,6192,112997,22137
24,2002-0290-IND,2002,Heat wave,India,IND,Southern Asia,Asia,,,,,50,2002,5,10,2002,5,22,1030,,,,,66.3819637,"Madhya Pradesh, Andhra Pradesh, Uttar Pradesh, Delhi, Rajasthan, Punjab, Haryana, Orissa, West Bengal provinces",IN,IN,20.593684,78.96288,India,37,Millions,...,20.23548126,21873,110185,8076,121295,1093317
25,2002-0354-NGA,2002,Heat wave,Nigeria,NGA,Western Africa,Africa,,,,,60,2002,6,,2002,6,,60,,,,,66.3819637,Maiduguri district (Borno province),NG,NG,9.081999,8.675277,Nigeria,41,Millions,11501450.4,18.20248985,12552,54068,2450,55105,128596
26,2002-0284-PAK,2002,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,50,2002,5,,2002,5,,113,24,,,24,66.3819637,"Balochistan, Punjab, Sindh provinces",PA,PA,8.537981,-80.782127,Panama,42,Millions,...,15.18973827,22602,88953,11945,129119,149550
27,2003-0391-AUT,2003,Heat wave,Austria,AUT,Western Europe,Europe,Wildfire,Drought,,,,2003,7,,2003,8,,345,,,,,67.88889569,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Steiernark, Salzburg, Tirol, Voralberg, Wien provinces",AU,AU,-25.274398,133.775136,Australia,44,Millions,231862.46,3091.240234,52554,166870,51759,377180,8176
28,2003-0391-BEL,2003,Heat wave,Belgium,BEL,Western Europe,Europe,Drought,,,,,2003,8,1,2003,8,15,1175,,,,,67.88889569,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",BE,BE,50.503887,4.469936,Belgium,45,Millions,281200.2,2828.333496,85307,305074,59815,295567,10419
29,2004-0333-ALB,2004,Heat wave,Albania,ALB,Southern Europe,Europe,,,,,38,2004,7,1,2004,7,,3,,,,,69.70644216,"Durres city (Durres district, Durres province)",AL,AL,41.153332,20.168331,Albania,46,Millions,737655.5483,156.5681763,34663,150953,4282,189790,3105
30,2003-0391-CHE,2003,Heat wave,Switzerland,CHE,Western Europe,Europe,Drought,,,,,2003,7,,2003,7,,1039,,,,,67.88889569,"Aargau, Appenzll Ausser-rhoden, Appenzell Inner-rhoden, Basel-landschaft, Basel-stadt, Bern, Friboug, Genève, Glaurus, Graubünden, Jura, Luzern, Neuchâtel, Nidwalden, Obwalden, Sankt Gallen, Schaffhaussen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich provinces",CH,CH,46.818188,8.227512,Switzerland,47,Millions,488937.3378,5018.527344,50865,207856,57061,206928,7268
31,2003-0391-DEU,2003,Heat wave,Germany,DEU,Western Europe,Europe,Drought,,,,,2003,8,,2003,8,,9355,,,,,67.88889569,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",DE,DE,51.165691,10.451526,Germany,48,Millions,2211570,3152.794189,57645,128160,64893,280664,81614
32,2003-0391-ESP,2003,Heat wave,Spain,ESP,Southern Europe,Europe,Drought,,,,40,2003,8,1,2003,8,11,15090,,,,,67.88889569,Andaloucia province,ES,ES,40.463667,-3.74922,Spain,49,Millions,802266,1641.058716,32507,107288,15005,338518,42596
33,2003-0391-FRA,2003,Heat wave,France,FRA,Western Europe,Europe,Drought,,,,43,2003,8,1,2003,8,20,19490,,,,,67.88889569,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",FR,FR,46.227638,2.213749,France,50,Millions,1630666,3006.305908,61253,93733,37482,217498,60252
34,2003-0250-IND,2003,Heat wave,India,IND,Southern Asia,Asia,Drought,,,,49,2003,5,14,2003,6,6,1210,,,,,67.88889569,"Andhra Pradesh, Orissa, Tamil Nadu, Vidarbha (=part of Maharashtra), Chhattisgarh, Jharkland, Uttar Pradesh, Rajasthan, Madhya Pradesh, Bihar provinces",IN,IN,20.593684,78.96288,India,52,Millions,...,21.99779892,23994,117974,8175,112951,1111523
35,2003-0391-ITA,2003,Heat wave,Italy,ITA,Southern Europe,Europe,Drought,,,,,2003,7,16,2003,8,15,20089,,,,,67.88889569,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",IT,IT,41.87194,12.56738,Italy,53,Millions,1394693.2,2163.025391,43072,120652,13518,251590,57565
36,2003-0250-BGD,2003,Heat wave,Bangladesh,BGD,Southern Asia,Asia,,,,,40,2003,5,10,2003,6,12,62,,,,,67.88889569,"Dhaka, Khulna, Rajshahi provinces",BG,BG,42.733883,25.48583,Bulgaria,54,Millions,3487397.492,10.27598572,34793,79989,1145,57959,134792
37,2003-0785-DZA,2003,Heat wave,Algeria,DZA,Northern Africa,Africa,,,,,47,2003,6,21,2003,7,21,40,,,,,67.88889569,Adrar (province?/district?),DZ,DZ,28.033886,1.659626,Algeria,56,Millions,5252300,75.7433548,14703,65012,2238,118952,32264
38,2004-0361-ESP,2004,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,,2004,7,26,2004,7,30,26,,,,,69.70644216,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia provinces",ES,ES,40.463667,-3.74922,Spain,59,Millions,859437,1924.445313,37501,103010,15332,336376,43308
39,2004-0352-JPN,2004,Heat wave,Japan,JPN,Eastern Asia,Asia,,,,,40,2004,7,,2004,8,,10,300,,,300,69.70644216,Tokyo city (Tookyoo province),JP,JP,36.204824,138.252924,Japan,60,Millions,529400800,2875.933594,59423,171709,69789,284290,128204
40,2003-0391-LUX,2003,Heat wave,Luxembourg,LUX,Western Europe,Europe,,,,,,2003,7,,2003,7,,170,,,,,67.88889569,"Diekirch, Grevenmacher, Luxembourg provinces",LU,LU,49.815273,6.129583,Luxembourg,63,Millions,26227.287,4607.402832,56780,69270,58670,166842,447
41,2003-0250-PAK,2003,Heat wave,Pakistan,PAK,Southern Asia,Asia,,,,,50,2003,5,1,2003,6,6,200,,,,,67.88889569,Punjab province,PA,PA,8.537981,-80.782127,Panama,65,Millions,...,14.45083237,23206,79261,11965,128218,153093
42,2003-0391-PRT,2003,Heat wave,Portugal,PRT,Southern Europe,Europe,,,,,,2003,8,,2003,8,,2696,,,,,67.88889569,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",PR,PR,18.220833,-66.590149,Puerto Rico,66,Millions,146067.858,1443.37793,26432,60598,24085,286199,10430
